employee_id,age,gender,department,salary_usd,years_experience,satisfaction_score,performance_rating,overtime,remote_work,num_projects,training_hours,education_level,attrition
EMP00075,44.0,Male,Sales,72386.2,13.0,3.81,Excellent,No,Hybrid,5.0,59.0,Bachelor's,0
EMP00076,44.0,Female,Sales,56760.88,32.0,1.01,Excellent,Yes,Full Remote,1.0,91.0,Master's,0
EMP00077,51.0,Male,Sales,49273.47,26.0,4.47,High,No,Hybrid,4.0,77.0,Bachelor's,0
EMP00078,50.0,Male,Finance,56471.42,7.0,2.29,Medium,,Full Remote,6.0,19.0,Master's,0
EMP00079,56.0,Female,HR,81088.62,12.0,1.21,Medium,yes,Full Remote,2.0,99.0,Bachelor's,0
EMP00080,43.0,,SALES,70286.65,2.0,4.22,Medium,No,Hybrid,6.0,46.0,Master's,0
EMP00081,49.0,Male,engineering,52462.26,6.0,4.98,High,Yes,On-site,8.0,64.0,Bachelor's,0
EMP00082,48.0,Male,engineering,66066.73,14.0,2.79,High,Yes,Hybrid,2.0,47.0,High School,0
EMP00083,24.0,Female,HR,77101.52,,4.76,Medium,yes,Full Remote,3.0,67.0,Bachelor's,0
EMP00084,43.0,Prefer not to say,Engineering,77356.39,14.0,3.89,High,Yes,On-site,1.0,,High School,0
EMP00085,43.0,Female,Finance,66273.85,9.0,2.85,Excellent,no,Hybrid,7.0,94.0,Master's,1
EMP00086,30.0,Male,Finance,92492.02,9.0,2.97,Medium,Yes,Hybrid,6.0,25.0,Bachelor's,0
EMP00087,42.0,Female,,69456.58,33.0,2.98,High,Yes,On-site,9.0,38.0,PhD,0
EMP00088,27.0,Male,Marketing,67751.2,37.0,3.48,High,Yes,Full Remote,7.0,59.0,nan,0
EMP00089,55.0,Female,Marketing,47907.0,24.0,1.31,Excellent,Yes,On-site,6.0,62.0,Bachelor's,0
EMP00090,34.0,Male,HR,66354.25,6.0,4.03,Medium,Yes,Hybrid,8.0,73.0,PhD,0
EMP00091,57.0,Prefer not to say,,108933.93,19.0,2.06,High,Yes,Full Remote,9.0,17.0,Master's,0
EMP00092,43.0,Female,Engineering,44207.6,26.0,2.22,Medium,No,On-site,2.0,93.0,High School,0
EMP00093,27.0,Male,Sales,64458.36,15.0,3.77,High,,Hybrid,5.0,59.0,High School,0
EMP00094,61.0,Female,,78433.37,35.0,2.35,Medium,Yes,Full Remote,3.0,72.0,Master's,1
EMP00095,43.0,Female,Marketing,77704.15,13.0,3.29,Medium,Yes,On-site,7.0,6.0,Bachelor's,0
EMP00096,34.0,Male,Sales,28188.76,10.0,3.95,Medium,Yes,Hybrid,9.0,3.0,Master's,0
EMP00097,45.0,Male,Sales,44375.82,6.0,2.02,Excellent,No,On-site,7.0,50.0,nan,1
EMP00098,37.0,Male,Finance,85591.15,33.0,2.76,Excellent,,Full Remote,6.0,61.0,PhD,0
EMP00099,40.0,Male,Marketing,50624.49,34.0,1.02,Excellent,Yes,Hybrid,6.0,47.0,Bachelor's,1
EMP00100,55.0,Female,Marketing,74714.85,27.0,4.11,Medium,No,On-site,1.0,51.0,Master's,1
EMP00101,29.0,Male,Engineering,85398.22,8.0,,Excellent,Yes,Full Remote,6.0,31.0,Bachelor's,0
EMP00102,23.0,Male,HR,33728.05,2.0,3.26,Excellent,No,Full Remote,6.0,43.0,PhD,0
EMP00103,41.0,Female,SALES,31843.18,10.0,1.68,Low,No,Full Remote,2.0,63.0,Bachelor's,0
EMP00104,51.0,Non-binary,Engineering,69166.35,19.0,3.17,Medium,Yes,Full Remote,4.0,30.0,nan,1
EMP00105,29.0,Male,HR,69791.14,19.0,2.76,Low,,Full Remote,2.0,7.0,Bachelor's,0
EMP00106,57.0,Female,Engineering,64436.63,37.0,1.79,High,Yes,On-site,1.0,73.0,Bachelor's,0
EMP00107,44.0,Male,Sales,61414.25,18.0,3.89,Low,Yes,Hybrid,8.0,26.0,Master's,0
EMP00108,44.0,Female,Marketing,66912.23,9.0,4.07,High,No,Full Remote,5.0,34.0,Master's,0
EMP00109,32.0,Female,Sales,68322.16,3.0,2.9,High,yes,Hybrid,8.0,83.0,Bachelor's,0
EMP00110,47.0,Male,Engineering,43511.13,14.0,1.97,High,No,On-site,4.0,45.0,High School,0
EMP00111,33.0,Male,Marketing,52984.79,36.0,2.42,High,yes,On-site,8.0,34.0,Master's,1
EMP00112,37.0,Male,Engineering,0.0,9.0,1.68,Excellent,Yes,On-site,8.0,44.0,nan,0
EMP00113,29.0,Male,Sales,86154.0,20.0,4.3,High,Yes,On-site,8.0,48.0,Bachelor's,0
EMP00114,38.0,Male,SALES,43275.39,27.0,1.97,High,No,nan,1.0,81.0,Master's,0
EMP00115,38.0,Female,Finance,91880.28,12.0,1.45,High,,On-site,9.0,47.0,Bachelor's,1
EMP00116,40.0,Female,Sales,52780.56,11.0,1.98,Medium,yes,Full Remote,8.0,34.0,Master's,0
EMP00117,45.0,Female,Marketing,64622.77,16.0,4.06,Excellent,Yes,Hybrid,2.0,73.0,Bachelor's,0
EMP00118,27.0,Male,Sales,81184.02,2.0,2.29,Medium,,Full Remote,3.0,50.0,Master's,1
EMP00119,36.0,Female,Engineering,76940.49,32.0,4.32,High,No,Full Remote,8.0,97.0,Master's,0
EMP00120,43.0,Male,,62232.05,38.0,1.33,nan,Yes,On-site,6.0,,Master's,0
EMP00121,38.0,Female,Sales,95719.74,3.0,1.5,Low,yes,Hybrid,2.0,11.0,Bachelor's,0
EMP00122,35.0,Male,engineering,49666.54,9.0,4.45,High,,nan,5.0,36.0,Bachelor's,0
EMP00123,45.0,Female,Engineering,68022.56,18.0,4.72,Medium,no,Hybrid,4.0,56.0,Bachelor's,0
EMP00124,54.0,Male,HR,51248.42,34.0,3.26,Medium,no,On-site,,2.0,Master's,0
EMP00125,29.0,Male,Sales,,13.0,4.0,Medium,,On-site,7.0,92.0,Master's,0
EMP00126,48.0,Male,SALES,,36.0,3.86,Excellent,No,Full Remote,6.0,,Bachelor's,0
EMP00127,34.0,Female,Engineering,43313.02,28.0,2.55,High,,Hybrid,7.0,16.0,Master's,0
EMP00128,34.0,Male,Engineering,47967.21,16.0,3.04,High,Yes,Hybrid,9.0,42.0,Bachelor's,0
EMP00129,40.0,Female,Finance,79766.85,32.0,3.99,Medium,Yes,On-site,6.0,96.0,Bachelor's,0
EMP00130,22.0,Female,engineering,73193.01,9.0,2.18,High,No,Hybrid,2.0,3.0,Master's,0
EMP00131,55.0,Male,Engineering,43213.17,25.0,2.02,Low,no,Full Remote,5.0,48.0,High School,1
EMP00132,51.0,Non-binary,Marketing,72018.75,32.0,3.99,Medium,Yes,Hybrid,,64.0,Bachelor's,0
EMP00133,36.0,Male,Sales,80915.29,1.0,1.9,Excellent,No,On-site,7.0,45.0,PhD,1
EMP00134,35.0,Female,Marketing,59564.87,4.0,4.71,High,no,Full Remote,4.0,93.0,Associate,0
EMP00135,43.0,Female,Sales,87892.65,39.0,3.06,Medium,no,On-site,3.0,66.0,Master's,0
EMP00136,55.0,Male,Finance,10647.34,39.0,2.47,High,Yes,Hybrid,5.0,23.0,Bachelor's,0
EMP00137,51.0,Female,Engineering,44315.75,24.0,4.17,Medium,No,Full Remote,2.0,79.0,High School,0
EMP00138,36.0,Female,Sales,60802.72,15.0,2.83,High,yes,Hybrid,9.0,75.0,Master's,0
EMP00139,48.0,Male,Finance,64506.02,18.0,4.7,Excellent,Yes,Hybrid,6.0,44.0,High School,0
EMP00140,48.0,Male,Sales,73660.06,6.0,3.46,nan,Yes,On-site,5.0,40.0,High School,0
EMP00141,47.0,Female,HR,70261.0,19.0,4.57,High,No,Hybrid,7.0,63.0,Bachelor's,1
EMP00142,57.0,Male,Finance,69112.05,16.0,4.35,High,Yes,Hybrid,7.0,50.0,Master's,1
EMP00143,38.0,Female,Marketing,52814.31,30.0,4.65,High,No,Full Remote,4.0,96.0,nan,0
EMP00144,41.0,Female,engineering,66821.43,3.0,1.98,High,Yes,Hybrid,2.0,43.0,Bachelor's,0
EMP00145,32.0,Male,Finance,91634.16,20.0,2.19,Excellent,Yes,Hybrid,7.0,80.0,Master's,0
EMP00146,54.0,Female,Marketing,92511.37,26.0,4.4,Excellent,Yes,Hybrid,4.0,25.0,Master's,0
EMP00147,28.0,Female,engineering,38109.27,6.0,1.91,Medium,Yes,Full Remote,4.0,64.0,Master's,0
EMP00148,62.0,Male,engineering,71836.36,14.0,1.78,Low,No,On-site,7.0,60.0,Bachelor's,1
EMP00149,38.0,Male,Finance,,25.0,3.47,High,yes,Hybrid,1.0,36.0,Bachelor's,0
EMP00150,28.0,Female,Finance,54720.41,18.0,3.1,High,No,Full Remote,1.0,84.0,Bachelor's,0
EMP00151,23.0,Male,Marketing,50060.47,26.0,1.59,Low,yes,Hybrid,4.0,7.0,Bachelor's,1
EMP00152,58.0,Male,Engineering,8959.55,39.0,2.09,Medium,No,Hybrid,1.0,47.0,Master's,0
EMP00153,31.0,Male,Sales,66623.39,33.0,2.75,Low,Yes,On-site,7.0,90.0,Bachelor's,1
EMP00154,40.0,Male,Engineering,40055.7,14.0,3.14,Medium,No,On-site,4.0,28.0,Master's,0
EMP00155,60.0,Female,engineering,59521.12,16.0,1.5,Excellent,yes,Hybrid,4.0,65.0,PhD,0
EMP00156,37.0,Female,Marketing,46333.89,27.0,1.15,High,Yes,On-site,2.0,80.0,Bachelor's,0
EMP00157,25.0,Male,SALES,77671.24,20.0,1.11,Medium,No,On-site,5.0,64.0,Master's,0
EMP00158,27.0,Male,Sales,24344.3,21.0,3.14,Medium,Yes,Hybrid,7.0,22.0,PhD,1
EMP00159,30.0,Male,Marketing,39670.2,35.0,3.56,Medium,yes,On-site,4.0,89.0,High School,0
EMP00160,64.0,Male,SALES,69946.06,0.0,4.07,High,No,Hybrid,4.0,32.0,High School,1
EMP00161,40.0,Female,Engineering,36862.03,1.0,3.99,Medium,No,Hybrid,8.0,65.0,Master's,0
EMP00162,46.0,Male,Finance,65656.1,8.0,2.4,Medium,No,Full Remote,8.0,2.0,High School,0
EMP00163,51.0,Female,Engineering,60290.07,10.0,4.66,Low,Yes,On-site,8.0,45.0,Bachelor's,0
EMP00164,33.0,Male,Engineering,91350.52,35.0,3.48,High,no,Hybrid,1.0,29.0,Master's,1
EMP00165,41.0,Female,Marketing,47184.7,29.0,4.42,High,No,Full Remote,8.0,35.0,Master's,0
EMP00166,64.0,Male,Marketing,64917.18,26.0,,Medium,no,nan,7.0,65.0,Bachelor's,0
EMP00167,39.0,Male,Sales,83246.05,39.0,4.44,Excellent,No,On-site,3.0,35.0,Master's,0
EMP00168,40.0,Male,engineering,30967.28,4.0,3.39,Medium,No,On-site,5.0,62.0,Master's,0
EMP00169,37.0,Male,Engineering,78120.77,5.0,2.69,Excellent,,Hybrid,7.0,50.0,Master's,0
EMP00170,37.0,Male,Engineering,76919.25,38.0,4.44,High,Yes,Hybrid,9.0,92.0,PhD,0
EMP00171,60.0,Non-binary,Engineering,45598.24,18.0,2.45,nan,Yes,Full Remote,3.0,12.0,High School,0
EMP00172,29.0,Female,Marketing,91345.82,20.0,4.81,Low,,On-site,5.0,53.0,Bachelor's,0
EMP00173,49.0,Male,Engineering,59095.04,4.0,1.22,Low,,Hybrid,3.0,30.0,Associate,0
EMP00174,57.0,Male,Marketing,,8.0,3.95,Medium,Yes,Full Remote,7.0,91.0,Bachelor's,0
EMP00175,44.0,Male,SALES,52455.9,24.0,1.05,High,,Full Remote,3.0,46.0,Associate,0
EMP00176,64.0,Female,Engineering,65846.0,28.0,1.67,Medium,Yes,On-site,8.0,58.0,Master's,0
EMP00177,22.0,Male,Sales,104655.48,7.0,3.68,High,No,On-site,4.0,30.0,nan,0
EMP00178,36.0,Male,Finance,40164.48,34.0,3.06,Excellent,Yes,Full Remote,6.0,73.0,High School,0
EMP00179,52.0,Male,Sales,82542.07,36.0,1.64,Medium,No,On-site,6.0,19.0,Bachelor's,1
EMP00180,61.0,Male,Engineering,62378.68,39.0,1.01,Medium,,On-site,1.0,67.0,Master's,0
EMP00181,64.0,Male,Marketing,86300.19,16.0,1.26,High,No,Hybrid,2.0,20.0,Bachelor's,0
EMP00182,30.0,Male,Engineering,53574.38,9.0,2.24,Medium,,Full Remote,5.0,55.0,Master's,0
EMP00183,44.0,Male,SALES,35590.63,5.0,4.4,Medium,Yes,On-site,5.0,11.0,nan,0
EMP00184,29.0,Female,Finance,65094.48,21.0,1.52,Low,Yes,Full Remote,5.0,80.0,Bachelor's,0
EMP00185,56.0,Male,Sales,71858.25,,2.27,Low,no,On-site,4.0,47.0,High School,0
EMP00186,36.0,Male,Finance,78124.45,38.0,3.37,Medium,No,Hybrid,8.0,42.0,Master's,0
EMP00187,35.0,Male,,61837.22,28.0,1.46,Medium,Yes,Full Remote,1.0,40.0,nan,0
EMP00188,37.0,Female,HR,80258.44,16.0,2.76,nan,No,Full Remote,7.0,12.0,Master's,0
EMP00189,43.0,Female,Sales,51176.6,23.0,3.1,Excellent,,Hybrid,7.0,21.0,Bachelor's,0
EMP00190,64.0,Female,Finance,66285.66,36.0,3.84,Medium,yes,Full Remote,6.0,41.0,Bachelor's,0
EMP00191,30.0,Female,Sales,80357.61,9.0,3.48,Medium,Yes,Hybrid,7.0,73.0,Master's,0
EMP00192,30.0,Female,engineering,81818.05,6.0,1.53,Medium,Yes,Hybrid,7.0,86.0,Bachelor's,0
EMP00193,52.0,Non-binary,Engineering,43571.68,35.0,3.92,Medium,Yes,On-site,1.0,26.0,High School,0
EMP00194,63.0,Male,Marketing,77175.37,5.0,1.51,Medium,No,Hybrid,8.0,55.0,Bachelor's,0
EMP00195,45.0,Male,Engineering,55022.96,10.0,4.58,Excellent,,On-site,6.0,28.0,Bachelor's,0
EMP00196,34.0,Male,engineering,68305.81,20.0,3.03,Medium,no,On-site,5.0,40.0,Master's,1
EMP00197,49.0,Male,Sales,50861.6,6.0,2.71,High,Yes,Full Remote,9.0,80.0,Master's,0
EMP00198,53.0,Female,Engineering,49889.1,14.0,1.87,High,no,Hybrid,7.0,58.0,PhD,0
EMP00199,52.0,Female,Marketing,50413.12,20.0,4.07,nan,No,On-site,1.0,98.0,PhD,0
EMP00200,57.0,Male,Engineering,90999.39,9.0,4.07,Medium,yes,On-site,9.0,9.0,Bachelor's,0
EMP00201,31.0,Non-binary,Finance,81522.4,25.0,2.79,Low,No,On-site,1.0,3.0,High School,1
EMP00202,48.0,Female,Marketing,54135.11,30.0,1.23,Excellent,No,nan,1.0,60.0,Bachelor's,0
EMP00203,31.0,Male,Marketing,61813.72,29.0,2.12,Medium,Yes,nan,3.0,9.0,Associate,0
EMP00204,22.0,Male,SALES,72773.7,34.0,2.93,High,No,On-site,6.0,12.0,Bachelor's,0
EMP00205,60.0,Male,HR,66388.93,3.0,3.95,Excellent,No,Full Remote,4.0,54.0,PhD,0
EMP00206,25.0,Male,Sales,62153.12,24.0,3.36,High,Yes,On-site,5.0,13.0,Bachelor's,0
EMP00207,60.0,Male,Engineering,73308.35,11.0,1.23,High,No,On-site,5.0,5.0,Bachelor's,0
EMP00208,61.0,Male,Finance,84466.13,27.0,3.45,High,Yes,nan,2.0,55.0,Bachelor's,1
EMP00209,59.0,Female,engineering,88876.11,5.0,4.87,Excellent,,Hybrid,8.0,76.0,Master's,0
EMP00210,32.0,Female,Sales,59299.58,22.0,4.52,Medium,No,On-site,5.0,73.0,Bachelor's,0
EMP00211,64.0,Female,engineering,53323.82,28.0,2.44,Excellent,Yes,On-site,8.0,79.0,Master's,0
EMP00212,48.0,Male,Marketing,32915.7,0.0,4.34,High,no,On-site,4.0,65.0,Master's,0
EMP00213,58.0,Male,Sales,43842.24,39.0,1.67,High,,Full Remote,4.0,12.0,Associate,0
EMP00214,39.0,Male,SALES,33263.74,38.0,2.68,High,No,On-site,9.0,76.0,Bachelor's,0
EMP00215,63.0,Male,HR,76386.1,39.0,2.16,Excellent,Yes,Hybrid,2.0,74.0,Bachelor's,0
EMP00216,33.0,Female,Finance,92673.74,36.0,4.14,Medium,No,nan,1.0,65.0,Master's,0
EMP00217,43.0,Female,engineering,80743.26,13.0,1.08,Medium,Yes,On-site,3.0,30.0,Bachelor's,1
EMP00218,38.0,Non-binary,Marketing,56374.82,35.0,2.8,Excellent,No,Hybrid,8.0,97.0,Bachelor's,0
EMP00219,52.0,Female,Finance,43858.9,4.0,1.05,Excellent,no,Full Remote,4.0,59.0,Bachelor's,0
EMP00220,37.0,Female,Finance,63248.2,18.0,2.1,Medium,,On-site,9.0,85.0,High School,0
EMP00221,35.0,Male,Marketing,78939.45,34.0,4.6,nan,Yes,On-site,6.0,33.0,Bachelor's,1
EMP00222,22.0,Male,Marketing,39349.05,21.0,3.08,High,yes,On-site,9.0,87.0,Master's,0
EMP00223,28.0,Male,SALES,100903.66,37.0,4.83,High,,Full Remote,1.0,34.0,Bachelor's,1
EMP00224,53.0,Female,Marketing,43879.07,7.0,1.59,Excellent,Yes,Full Remote,6.0,97.0,nan,0
EMP00225,25.0,Female,Engineering,25373.48,36.0,3.17,Medium,Yes,Hybrid,7.0,78.0,Bachelor's,0
EMP00226,64.0,Male,Marketing,73784.86,26.0,2.23,Excellent,Yes,Hybrid,7.0,48.0,Bachelor's,0
EMP00227,41.0,Non-binary,Marketing,59690.77,31.0,4.27,Excellent,no,On-site,4.0,69.0,Bachelor's,0
EMP00228,52.0,Female,Marketing,70093.66,29.0,-1.0,nan,Yes,nan,8.0,55.0,Master's,0
EMP00229,39.0,Male,Marketing,50734.01,2.0,3.99,Medium,No,Full Remote,7.0,85.0,Bachelor's,0
EMP00230,43.0,Female,Finance,73001.74,10.0,3.5,High,no,Full Remote,8.0,96.0,Bachelor's,0
EMP00231,23.0,Male,Sales,65804.64,5.0,3.55,High,No,Full Remote,3.0,90.0,Bachelor's,0
EMP00232,58.0,Female,Engineering,63084.4,23.0,2.56,nan,No,Hybrid,7.0,84.0,Bachelor's,0
EMP00233,45.0,Female,Marketing,68424.29,29.0,,High,yes,On-site,1.0,86.0,PhD,0
EMP00234,63.0,Male,Engineering,96748.13,33.0,2.31,High,,Hybrid,8.0,4.0,Master's,0
EMP00235,46.0,Female,Engineering,101564.97,1.0,3.23,Excellent,,On-site,9.0,8.0,Master's,0
EMP00236,62.0,Female,Engineering,77676.56,27.0,4.72,High,Yes,Hybrid,7.0,48.0,Master's,0
EMP00237,49.0,Female,Engineering,36120.38,,1.8,Medium,Yes,Full Remote,9.0,52.0,Master's,0
EMP00238,37.0,Male,engineering,95337.31,37.0,3.57,Low,,On-site,3.0,50.0,High School,0
EMP00239,22.0,Female,Finance,66479.48,12.0,1.38,Excellent,No,On-site,6.0,40.0,Bachelor's,0
EMP00240,43.0,Female,Sales,38299.48,8.0,1.43,Medium,Yes,Full Remote,3.0,32.0,Bachelor's,0
EMP00241,55.0,Female,Marketing,73113.28,10.0,4.92,High,No,On-site,4.0,20.0,nan,0
EMP00242,37.0,Male,engineering,66368.84,25.0,2.32,High,no,On-site,6.0,16.0,Bachelor's,0
EMP00243,24.0,Female,Marketing,44860.02,20.0,2.98,Medium,Yes,On-site,9.0,55.0,Master's,0
EMP00244,40.0,Male,Marketing,82766.39,29.0,2.59,High,,Hybrid,1.0,85.0,Master's,1
