hotel_type,lead_time,arrival_month,weekend_nights,week_nights,adults,children,meal_plan,country,parking_requests,room_price,is_canceled
Resort Hotel,114,Apr,3,7,3,1.0,SC,Germany,1,89.49,1
Resort Hotel,90,Feb,2,3,3,0.0,HB,UK,2,113.98,0
City Hotel,223,Jan,1,9,1,3.0,FB,France,0,111.4,1
Resort Hotel,286,Jan,1,2,2,0.0,SC,UAE,1,80.02,0
Resort Hotel,87,Dec,0,3,4,2.0,SC,Germany,1,106.02,0
City Hotel,222,Jul,4,6,2,2.0,BB,India,2,104.28,0
City Hotel,267,Jun,2,6,4,2.0,BB,Germany,2,136.53,1
Resort Hotel,33,Jul,3,6,1,0.0,FB,UAE,2,29.56,1
City Hotel,294,Jan,1,8,2,3.0,SC,UAE,2,99.01,1
Resort Hotel,238,Oct,0,8,3,1.0,BB,India,1,235.3,0
Resort Hotel,5,Dec,3,6,3,3.0,HB,India,0,133.52,0
City Hotel,187,Mar,0,8,2,2.0,BB,UK,1,109.42,0
City Hotel,248,Jul,3,1,4,3.0,FB,USA,0,,1
Resort Hotel,99,Oct,3,7,4,3.0,SC,USA,0,96.87,0
City Hotel,51,Oct,1,3,2,0.0,HB,UAE,2,176.28,1
Resort Hotel,65,Sep,1,3,4,3.0,BB,India,0,,0
City Hotel,196,Jun,3,9,2,1.0,BB,France,1,66.07,0
City Hotel,58,Aug,1,1,3,0.0,SC,,2,126.05,0
Resort Hotel,176,Sep,2,9,4,1.0,HB,USA,1,116.43,0
Resort Hotel,186,Jul,3,5,4,3.0,HB,France,1,159.53,1
Resort Hotel,165,Sep,1,9,2,2.0,FB,UK,2,65.95,0
City Hotel,135,Nov,0,1,4,2.0,BB,India,0,104.47,0
City Hotel,60,Oct,0,6,2,0.0,HB,UAE,1,,1
Resort Hotel,315,Apr,0,1,3,1.0,SC,Germany,0,65.36,1
City Hotel,289,Sep,4,1,3,3.0,BB,Germany,0,71.15,1
Resort Hotel,179,Sep,0,5,3,0.0,SC,India,1,102.29,1
Resort Hotel,123,Feb,0,5,2,1.0,BB,UK,0,185.9,1
Resort Hotel,334,Nov,2,1,2,0.0,BB,UAE,2,119.29,1
City Hotel,294,Sep,2,2,1,1.0,FB,Germany,1,,1
Resort Hotel,244,Mar,4,3,1,2.0,SC,UAE,1,103.93,0
City Hotel,311,Nov,2,3,3,0.0,SC,UAE,0,78.65,1
Resort Hotel,282,Jul,1,7,4,3.0,SC,USA,1,110.06,0
Resort Hotel,351,Nov,0,2,4,1.0,BB,UK,0,116.17,0
Resort Hotel,298,Dec,1,3,3,3.0,FB,France,0,178.22,0
City Hotel,360,Mar,4,1,3,0.0,SC,India,1,150.05,1
City Hotel,77,Dec,1,1,2,0.0,SC,,1,127.72,1
City Hotel,87,Nov,1,1,1,,SC,India,1,55.4,0
City Hotel,80,May,1,1,4,1.0,BB,France,1,139.98,0
City Hotel,85,Dec,2,4,3,0.0,FB,Germany,0,156.58,1
City Hotel,274,Feb,0,1,4,0.0,FB,India,0,103.88,1
City Hotel,265,Oct,1,4,2,1.0,BB,,0,143.72,1
City Hotel,111,Oct,3,6,2,2.0,SC,USA,2,150.98,1
Resort Hotel,360,Mar,0,3,2,3.0,FB,France,0,109.92,1
City Hotel,273,Oct,0,3,4,3.0,FB,UK,0,,0
Resort Hotel,350,Apr,3,5,2,0.0,FB,UK,2,77.91,1
City Hotel,311,Oct,4,2,4,0.0,BB,France,1,158.49,1
City Hotel,310,Dec,4,4,2,1.0,SC,UAE,1,160.31,1
City Hotel,105,Dec,0,1,4,3.0,HB,,0,164.03,1
Resort Hotel,265,Jun,2,9,1,3.0,HB,USA,0,126.78,0
Resort Hotel,164,Nov,4,3,2,0.0,BB,India,2,121.23,0
City Hotel,136,Jun,4,8,3,2.0,SC,India,0,147.86,0
Resort Hotel,190,Mar,1,4,3,0.0,SC,USA,1,,1
City Hotel,252,Mar,1,6,4,0.0,FB,Germany,1,121.67,0
Resort Hotel,214,Sep,4,4,3,0.0,SC,France,0,163.43,1
City Hotel,122,Oct,2,4,4,3.0,BB,UK,0,188.62,0
Resort Hotel,305,Feb,1,6,3,2.0,SC,UK,2,209.85,1
Resort Hotel,326,Apr,2,8,3,2.0,HB,,2,76.84,1
Resort Hotel,218,May,0,9,2,3.0,HB,UAE,0,134.52,0
Resort Hotel,170,Aug,2,2,1,2.0,FB,UAE,2,140.29,1
Resort Hotel,258,Aug,1,6,3,3.0,SC,India,1,132.42,0
City Hotel,159,Jun,3,1,1,1.0,BB,India,1,,0
City Hotel,76,Feb,2,7,2,1.0,HB,USA,2,136.62,0
City Hotel,275,Oct,4,3,4,,BB,Germany,1,227.18,1
City Hotel,121,Oct,2,9,1,3.0,HB,UAE,1,,0
Resort Hotel,357,Jan,2,6,2,3.0,HB,France,1,57.62,0
Resort Hotel,240,Jul,2,9,4,3.0,HB,UK,1,139.67,1
Resort Hotel,357,Oct,4,6,2,3.0,BB,USA,2,101.67,0
City Hotel,65,Jan,2,4,4,3.0,BB,Germany,1,178.48,1
Resort Hotel,318,Nov,3,6,3,2.0,SC,India,0,119.01,1
Resort Hotel,188,Mar,4,1,3,1.0,FB,UK,2,91.5,1
City Hotel,98,Sep,3,8,3,1.0,SC,France,2,130.0,0
City Hotel,272,Jun,3,8,3,0.0,BB,UAE,1,107.45,1
Resort Hotel,105,Aug,3,3,1,1.0,SC,UK,0,74.11,0
Resort Hotel,135,Dec,4,5,1,1.0,BB,UK,1,74.1,1
City Hotel,333,Sep,1,5,2,0.0,HB,France,1,154.54,0
City Hotel,196,Jul,4,3,4,0.0,FB,UAE,2,,0
City Hotel,231,Aug,2,6,4,3.0,FB,USA,1,164.48,0
Resort Hotel,202,Apr,3,9,1,3.0,BB,,0,40.22,0
City Hotel,92,May,2,3,2,1.0,SC,UAE,2,112.17,0
Resort Hotel,348,Jul,3,9,2,,BB,UAE,0,,1
Resort Hotel,47,Sep,3,8,2,3.0,BB,France,1,149.53,0
City Hotel,11,Aug,2,5,2,2.0,BB,India,1,145.45,0
City Hotel,162,Jul,0,9,3,3.0,BB,USA,0,142.64,1
Resort Hotel,51,Apr,3,7,4,3.0,FB,USA,0,69.61,0
City Hotel,5,Nov,0,3,4,0.0,FB,Germany,1,140.33,0
Resort Hotel,304,Jan,4,2,4,1.0,SC,Germany,1,163.1,0
Resort Hotel,287,Jan,3,5,2,1.0,FB,India,1,82.59,0
City Hotel,355,Dec,3,3,3,2.0,HB,UAE,2,76.18,0
City Hotel,85,May,4,9,2,1.0,HB,India,0,152.96,1
Resort Hotel,296,Jul,2,7,3,0.0,BB,Germany,2,128.14,1
Resort Hotel,266,Nov,2,8,3,2.0,HB,Germany,0,84.35,1
Resort Hotel,338,Dec,0,6,4,1.0,FB,USA,1,193.99,1
Resort Hotel,230,Aug,4,9,1,0.0,BB,Germany,1,103.5,1
City Hotel,305,Jul,3,6,1,0.0,HB,France,1,,1
Resort Hotel,145,Apr,0,3,4,3.0,SC,UAE,1,42.57,1
City Hotel,214,Nov,2,2,2,1.0,FB,UK,0,130.86,1
City Hotel,208,Jul,3,1,3,3.0,BB,France,1,94.72,0
Resort Hotel,311,Jun,2,9,4,1.0,BB,UAE,0,144.06,0
Resort Hotel,290,Aug,0,6,4,1.0,FB,Germany,2,171.43,1
City Hotel,236,Sep,2,4,2,3.0,FB,UK,1,170.18,0
City Hotel,33,Jan,2,5,4,3.0,SC,India,2,115.97,0
Resort Hotel,133,Feb,4,8,1,3.0,HB,Germany,0,149.55,1
Resort Hotel,104,Aug,0,1,2,1.0,FB,Germany,0,221.8,0
Resort Hotel,42,Jul,3,8,1,,FB,India,0,116.22,0
City Hotel,131,Jul,2,7,4,1.0,SC,Germany,2,114.89,0
City Hotel,191,Mar,2,9,3,3.0,FB,UK,0,77.55,0
Resort Hotel,269,Jul,1,4,4,0.0,BB,India,0,135.96,1
City Hotel,244,Apr,0,5,4,0.0,SC,India,2,,1
City Hotel,61,Oct,0,8,3,0.0,FB,USA,1,92.6,0
Resort Hotel,158,Oct,3,3,3,3.0,FB,,2,44.9,1
City Hotel,306,Feb,4,1,3,1.0,BB,USA,2,80.92,1
City Hotel,69,Jan,3,1,2,0.0,BB,UK,0,85.1,1
Resort Hotel,294,Aug,0,6,3,2.0,SC,UAE,2,170.53,1
Resort Hotel,95,May,2,2,1,1.0,BB,UK,0,112.17,1
Resort Hotel,248,Oct,4,9,2,2.0,BB,India,1,84.88,1
City Hotel,258,Apr,4,5,4,1.0,BB,USA,0,188.39,0
City Hotel,57,Sep,0,9,1,1.0,FB,Germany,2,,1
City Hotel,263,May,0,8,1,2.0,FB,,2,83.66,0
Resort Hotel,208,Oct,3,8,3,1.0,HB,USA,2,133.82,1
Resort Hotel,29,Feb,1,5,2,,FB,India,1,170.24,1
City Hotel,222,Sep,0,2,1,1.0,SC,France,1,97.97,1
City Hotel,162,Oct,0,6,4,0.0,BB,India,0,128.01,1
City Hotel,98,Jul,3,5,4,3.0,FB,UAE,2,49.01,0
City Hotel,173,Sep,0,3,4,1.0,FB,India,1,141.08,1
Resort Hotel,127,May,3,9,3,2.0,HB,USA,0,199.07,0
Resort Hotel,100,Jul,0,7,4,2.0,SC,France,0,171.51,0
Resort Hotel,71,Aug,2,9,4,,SC,Germany,2,115.52,1
City Hotel,186,Dec,0,4,4,0.0,BB,India,2,89.57,0
Resort Hotel,334,Apr,1,3,3,2.0,SC,India,1,133.41,1
Resort Hotel,84,Aug,4,2,2,3.0,FB,France,2,184.35,0
City Hotel,229,Jul,3,5,2,3.0,SC,Germany,1,109.91,0
City Hotel,289,Mar,1,1,3,1.0,HB,India,1,,1
City Hotel,351,Nov,3,6,2,1.0,SC,India,1,80.83,1
Resort Hotel,250,Nov,1,2,2,2.0,FB,,0,93.36,1
Resort Hotel,97,Aug,3,9,3,0.0,FB,UAE,1,,0
Resort Hotel,346,Apr,3,5,2,3.0,SC,USA,1,106.87,0
Resort Hotel,218,Feb,4,2,2,0.0,FB,UK,1,90.68,1
City Hotel,192,Sep,0,4,4,2.0,HB,USA,0,92.3,0
City Hotel,166,Aug,3,6,3,,SC,Germany,2,168.88,0
Resort Hotel,12,Apr,3,4,3,2.0,SC,UK,1,142.75,1
Resort Hotel,191,Mar,4,5,4,2.0,SC,USA,0,157.98,0
City Hotel,188,Mar,3,4,1,3.0,FB,France,2,151.68,0
Resort Hotel,276,Jun,3,4,3,0.0,FB,USA,0,159.03,0
Resort Hotel,242,Feb,2,3,1,2.0,SC,UAE,1,151.87,0
City Hotel,322,Nov,2,9,2,3.0,HB,USA,0,185.24,1
Resort Hotel,18,Mar,2,3,3,0.0,BB,UAE,0,207.8,1
Resort Hotel,262,Jan,4,4,2,0.0,BB,USA,2,136.25,0
City Hotel,66,Oct,3,8,3,0.0,FB,UAE,2,166.69,0
Resort Hotel,69,May,4,5,3,3.0,HB,India,0,53.3,0
Resort Hotel,127,Mar,4,7,3,1.0,FB,UAE,1,115.1,0
Resort Hotel,125,Nov,1,6,1,1.0,SC,France,0,163.84,1
City Hotel,102,Jul,0,1,3,1.0,FB,UK,0,41.87,1
Resort Hotel,214,Sep,1,2,4,2.0,HB,India,2,179.09,0
Resort Hotel,150,May,0,5,3,1.0,BB,France,2,52.02,0
Resort Hotel,65,Feb,1,3,1,1.0,HB,UK,2,190.19,1
Resort Hotel,228,Feb,3,8,3,3.0,HB,UAE,2,202.43,0
Resort Hotel,77,Dec,4,8,1,2.0,FB,USA,2,46.5,0
Resort Hotel,191,Apr,1,2,2,3.0,HB,India,1,146.68,1
Resort Hotel,141,Oct,1,6,4,3.0,HB,UK,1,124.02,1
City Hotel,115,Dec,3,7,4,1.0,FB,USA,0,165.02,1
Resort Hotel,123,Sep,4,7,1,0.0,HB,India,2,118.23,0
Resort Hotel,240,Nov,0,3,2,,HB,UK,2,116.08,0
City Hotel,59,Feb,1,9,4,2.0,HB,UK,0,157.74,0
City Hotel,114,May,0,7,3,3.0,BB,India,2,169.48,0
Resort Hotel,82,Jul,2,1,4,2.0,HB,India,0,60.41,0
City Hotel,214,Oct,1,9,1,0.0,HB,UAE,1,163.4,1
Resort Hotel,257,Dec,4,6,2,3.0,SC,UAE,1,149.36,1
Resort Hotel,324,Apr,2,6,2,3.0,HB,UK,1,,0
City Hotel,9,Jul,2,7,1,2.0,SC,Germany,1,,0
City Hotel,3,Jul,1,2,3,3.0,FB,USA,0,103.75,1
Resort Hotel,265,Feb,1,2,2,3.0,FB,UK,2,136.22,1
City Hotel,338,Feb,2,4,1,2.0,SC,India,0,,0
City Hotel,325,Feb,1,2,2,2.0,FB,UK,2,155.1,0
City Hotel,278,Sep,4,7,2,3.0,FB,India,0,111.47,1
City Hotel,101,Jan,4,9,1,3.0,BB,USA,1,200.09,0
City Hotel,118,Jun,2,2,1,2.0,SC,UAE,1,132.63,1
City Hotel,80,Jul,1,1,3,0.0,FB,India,1,69.22,0
City Hotel,133,Sep,2,1,3,3.0,SC,,1,154.52,0
Resort Hotel,39,Mar,4,2,2,2.0,FB,Germany,0,127.72,1
Resort Hotel,3,Sep,1,3,3,1.0,SC,UAE,1,117.33,0
Resort Hotel,26,Jul,4,1,2,2.0,HB,India,2,195.44,1
City Hotel,264,May,1,8,1,2.0,SC,France,2,82.72,1
Resort Hotel,52,Dec,3,6,1,0.0,SC,France,1,166.86,0
Resort Hotel,197,May,4,3,3,1.0,SC,Germany,2,120.09,1
Resort Hotel,155,Jul,0,9,2,3.0,HB,USA,0,137.79,0
City Hotel,214,Oct,1,4,3,2.0,SC,USA,0,,0
City Hotel,56,Jun,3,9,4,2.0,FB,India,0,57.42,0
City Hotel,43,Aug,3,5,4,0.0,FB,Germany,0,128.61,1
City Hotel,27,Oct,3,9,4,2.0,HB,UAE,0,128.73,1
City Hotel,45,Oct,4,8,4,2.0,SC,Germany,1,107.24,0
City Hotel,302,Sep,0,2,2,3.0,FB,Germany,1,86.1,1
Resort Hotel,33,Jun,3,5,2,2.0,SC,France,2,,1
City Hotel,127,Mar,2,1,1,0.0,BB,UAE,0,155.77,1
Resort Hotel,95,Dec,1,1,1,2.0,SC,USA,1,184.38,0
City Hotel,284,Sep,1,3,2,1.0,HB,UAE,2,162.53,1
City Hotel,350,Feb,0,1,4,2.0,SC,France,1,109.89,1
Resort Hotel,354,May,0,6,3,0.0,FB,USA,0,,1
City Hotel,109,Oct,4,6,3,1.0,SC,UK,0,100.33,0
Resort Hotel,81,Apr,2,5,3,,HB,India,2,52.3,0
Resort Hotel,179,Feb,1,9,4,2.0,FB,UAE,1,178.8,1
Resort Hotel,192,Jun,3,4,2,,BB,UK,2,69.86,0
Resort Hotel,35,Dec,3,3,4,0.0,BB,UAE,2,87.24,0
Resort Hotel,262,Oct,1,3,4,3.0,SC,India,0,121.32,0
Resort Hotel,221,Jul,2,1,2,2.0,SC,India,0,114.71,0
City Hotel,186,Feb,2,4,4,1.0,BB,Germany,2,39.77,0
City Hotel,128,Mar,3,7,2,0.0,HB,France,0,97.55,1
Resort Hotel,270,May,1,8,1,2.0,FB,France,0,153.89,1
City Hotel,201,Sep,3,6,2,1.0,HB,USA,1,136.56,0
City Hotel,312,Jul,4,7,3,2.0,HB,Germany,2,143.2,1
Resort Hotel,79,Dec,1,5,2,2.0,HB,France,0,36.36,1
Resort Hotel,230,Dec,2,8,4,3.0,BB,USA,0,61.67,0
Resort Hotel,148,Mar,3,3,2,3.0,BB,USA,0,142.65,1
Resort Hotel,214,Oct,0,8,1,0.0,FB,USA,0,203.74,0
Resort Hotel,124,Apr,0,7,1,1.0,BB,France,0,113.92,1
Resort Hotel,145,Jul,4,9,1,1.0,FB,India,0,128.68,0
Resort Hotel,142,Nov,0,6,1,1.0,FB,Germany,2,130.64,0
Resort Hotel,26,Jan,4,2,3,2.0,BB,Germany,1,155.78,0
Resort Hotel,232,Apr,4,5,2,2.0,BB,USA,1,82.45,1
Resort Hotel,160,Jan,2,9,2,0.0,BB,USA,2,,1
City Hotel,349,May,2,7,4,,FB,USA,0,177.92,1
Resort Hotel,232,Dec,1,3,4,2.0,HB,USA,0,151.0,0
City Hotel,71,Dec,3,2,1,2.0,FB,USA,2,101.29,1
Resort Hotel,313,Feb,0,8,3,1.0,FB,USA,0,142.67,1
City Hotel,201,Sep,3,8,3,2.0,SC,UAE,1,140.4,0
City Hotel,268,Mar,3,1,4,,SC,Germany,1,89.75,1
City Hotel,3,May,4,2,1,0.0,HB,UAE,2,77.12,1
Resort Hotel,353,Dec,0,5,4,2.0,FB,,0,138.07,1
Resort Hotel,143,Aug,2,5,1,,FB,India,0,111.98,0
Resort Hotel,137,Aug,3,7,4,1.0,BB,,0,163.75,1
City Hotel,49,Sep,4,5,4,0.0,SC,UAE,0,68.65,1
Resort Hotel,172,Dec,2,9,4,3.0,BB,UAE,1,131.47,1
Resort Hotel,81,Mar,4,1,1,2.0,SC,France,1,172.2,1
City Hotel,156,Mar,3,5,2,1.0,SC,France,0,141.16,1
City Hotel,269,Apr,3,3,1,2.0,HB,,2,173.4,0
Resort Hotel,303,Jun,3,6,2,3.0,BB,Germany,2,166.87,1
Resort Hotel,21,Jul,0,1,1,3.0,SC,France,1,,0
City Hotel,50,Dec,0,2,1,0.0,BB,USA,2,104.51,0
Resort Hotel,175,Dec,3,9,3,1.0,BB,India,1,167.76,1
Resort Hotel,114,Jan,0,9,3,3.0,SC,Germany,1,139.11,1
City Hotel,261,Feb,4,2,2,1.0,HB,Germany,2,135.08,0
City Hotel,263,Mar,4,4,4,1.0,HB,India,0,155.2,0
Resort Hotel,293,Jan,1,3,2,0.0,BB,UAE,0,117.33,1
Resort Hotel,339,Mar,2,8,3,3.0,SC,USA,1,92.81,1
City Hotel,254,Apr,4,1,3,1.0,SC,Germany,0,190.25,1
City Hotel,67,Nov,2,9,4,0.0,FB,India,1,126.32,0
Resort Hotel,103,Jun,1,4,2,2.0,HB,USA,0,78.71,0
Resort Hotel,355,May,1,8,4,2.0,SC,UAE,1,141.85,0
City Hotel,283,Nov,2,8,3,3.0,HB,India,2,131.3,1
Resort Hotel,51,Jun,3,6,4,1.0,FB,USA,0,106.91,1
City Hotel,176,Sep,2,9,2,,FB,France,1,,0
Resort Hotel,328,Jan,4,8,4,2.0,BB,India,2,117.73,1
City Hotel,243,Mar,2,3,1,2.0,FB,USA,2,,1
City Hotel,181,Aug,4,6,4,3.0,FB,,2,82.49,1
City Hotel,211,Sep,4,2,3,1.0,SC,France,2,74.07,0
City Hotel,350,Nov,4,1,2,1.0,SC,Germany,0,167.6,0
City Hotel,48,Feb,3,5,4,3.0,FB,India,0,152.32,0
City Hotel,232,Oct,3,7,1,,SC,USA,0,151.46,1
Resort Hotel,266,May,1,6,3,3.0,SC,Germany,0,143.16,1
City Hotel,94,Mar,0,4,2,3.0,BB,Germany,1,72.55,0
Resort Hotel,255,Oct,3,4,2,2.0,SC,UAE,2,62.33,1
