brand,year,fuel_type,transmission,mileage_kmpl,engine_cc,horsepower,owners,insurance_valid,city,price_lakh
BMW,2023,Petrol,Manual,18.52,2147,73.0,1,Yes,West James,6.4
Kia,2009,Petrol,Manual,16.47,2419,132.0,2,Yes,New Nicole,13.32
Mahindra,2014,CNG,Manual,14.07,1397,282.0,2,Yes,Elliottburgh,4.92
Mahindra,2021,Electric,Manual,15.63,3004,61.0,4,No,New Tiffany,10.44
Kia,2019,Petrol,Manual,21.27,1981,269.0,4,Yes,Brownland,11.05
Mahindra,2012,Petrol,Automatic,,1597,149.0,4,Yes,Gibsonberg,3.68
BMW,2019,Petrol,Manual,18.56,3338,311.0,1,,Chapmanstad,4.63
Toyota,2018,CNG,Automatic,10.05,1634,106.0,4,Yes,New Richardshire,12.28
Kia,2011,CNG,Automatic,20.27,2832,222.0,1,No,West Brianna,4.3
Hyundai,2016,Electric,Automatic,16.41,1156,175.0,4,Yes,Port Kylefurt,7.77
Hyundai,2021,Electric,Manual,13.62,3209,138.0,4,No,Port Alyssa,16.16
Honda,2021,Electric,Manual,14.8,807,67.0,1,Yes,East Kelly,11.92
Mahindra,2014,Petrol,Automatic,14.97,3319,82.0,3,Yes,East Pamela,8.34
Hyundai,2023,Diesel,Manual,12.36,3019,90.0,2,Yes,Pamelaborough,11.36
Honda,2018,CNG,Manual,17.75,2943,229.0,4,No,Archerport,7.78
Toyota,2015,Petrol,Automatic,25.31,3455,189.0,3,Yes,South Christopher,12.07
BMW,2006,Petrol,Manual,13.6,2129,216.0,1,Yes,East Elizabeth,-0.19
BMW,2022,Electric,Manual,25.19,3321,81.0,4,Yes,South Brooke,7.44
BMW,2011,Electric,Manual,18.83,2773,185.0,1,Yes,Port Mistybury,-0.35
Hyundai,2016,Petrol,Manual,17.63,2288,228.0,1,Yes,Port Jennashire,8.65
Toyota,2006,CNG,Automatic,16.71,1413,225.0,1,,South Candiceville,7.06
Hyundai,2022,CNG,Automatic,14.78,1488,216.0,3,Yes,Kristiborough,13.44
Mahindra,2010,Petrol,Manual,19.17,1697,81.0,1,No,South Chelseashire,10.85
Hyundai,2014,Diesel,Manual,20.09,2151,271.0,2,No,Anthonyburgh,5.9
Toyota,2019,Diesel,Manual,8.3,909,223.0,4,,North Julia,6.38
Toyota,2009,CNG,Automatic,28.17,1509,195.0,4,Yes,Port John,9.52
Mahindra,2007,Electric,Manual,10.76,1960,311.0,2,No,Lake Shannon,5.71
Toyota,2009,Diesel,Manual,15.91,1448,264.0,4,Yes,North Amy,7.87
Toyota,2012,Diesel,Automatic,7.77,3196,301.0,2,No,East Catherine,13.27
BMW,2012,Electric,Manual,16.93,2803,120.0,3,Yes,Rossport,4.68
Mahindra,2012,Diesel,Automatic,16.15,3310,154.0,1,Yes,West Rachelmouth,6.21
Ford,2016,Petrol,Manual,,2466,207.0,3,Yes,Shawnchester,6.77
Ford,2012,Diesel,Automatic,19.22,2327,318.0,2,Yes,East Dennis,20.63
Toyota,2015,Electric,Manual,17.02,2713,89.0,1,Yes,Lake Jasmine,10.43
Ford,2018,Petrol,Manual,20.15,1045,77.0,3,,Martinezmouth,12.53
Ford,2012,Diesel,Automatic,13.05,2408,246.0,1,Yes,Taylorchester,11.07
Toyota,2014,CNG,Automatic,18.31,1597,271.0,1,No,Angelastad,11.34
Ford,2011,Petrol,Automatic,15.47,1873,94.0,3,Yes,New Alexanderbury,9.89
Hyundai,2021,Petrol,Automatic,16.52,1314,206.0,4,Yes,Juanfurt,9.46
Honda,2008,CNG,Automatic,19.08,3073,94.0,2,Yes,Brownside,2.2
Mahindra,2017,CNG,Manual,15.98,3425,,3,Yes,West Donald,9.43
Honda,2008,Diesel,Automatic,17.58,1305,131.0,3,Yes,Yorkfurt,7.57
Toyota,2009,Diesel,Automatic,13.38,954,308.0,4,Yes,Lake Christopherport,10.18
BMW,2008,Electric,Automatic,22.38,2806,116.0,2,Yes,Hectortown,7.72
Mahindra,2022,Electric,Automatic,20.91,2697,69.0,3,Yes,Derekport,11.05
Toyota,2010,Petrol,Manual,18.4,2303,272.0,1,Yes,Bobbystad,11.76
BMW,2006,CNG,Manual,17.03,910,296.0,2,No,South Bradfurt,-3.65
Honda,2015,CNG,Manual,17.58,3330,293.0,4,No,Frankstad,6.26
Toyota,2018,Electric,Manual,22.3,3121,282.0,3,No,Michaelville,0.57
Mahindra,2009,Petrol,Manual,20.63,3002,163.0,1,Yes,Davidchester,8.96
Mahindra,2010,Petrol,Automatic,22.36,2474,157.0,2,No,New Gracebury,6.8
Kia,2014,Electric,Manual,16.63,1990,285.0,3,Yes,Peterville,13.42
Hyundai,2012,Electric,Manual,19.93,1842,281.0,2,Yes,Josephstad,8.83
Ford,2018,Electric,Automatic,22.75,3192,,1,Yes,North Cynthiastad,6.06
BMW,2007,Diesel,Automatic,14.3,3416,212.0,1,No,North Nathanview,11.75
Kia,2016,Petrol,Manual,14.04,2721,283.0,2,No,South Kathryn,6.73
Ford,2020,Petrol,Manual,19.1,1093,178.0,1,Yes,Taylorland,6.01
Ford,2021,Petrol,Automatic,13.06,3492,273.0,1,Yes,Sotostad,9.57
Toyota,2005,Electric,Manual,10.74,2285,112.0,2,No,Rosetown,14.45
Ford,2014,Electric,Automatic,22.7,1137,279.0,2,No,East Jeffrey,11.41
Hyundai,2014,Electric,Automatic,23.4,2627,302.0,4,No,New Alanbury,10.27
Mahindra,2006,Electric,Manual,13.28,3299,112.0,3,No,Port Patrick,19.0
Kia,2013,CNG,Manual,12.27,3191,176.0,4,No,West Marc,5.07
Ford,2017,Electric,Manual,15.39,1516,101.0,4,No,Derricktown,4.98
Toyota,2020,Diesel,Automatic,23.01,1430,306.0,4,No,North Loriville,8.58
Hyundai,2022,CNG,Automatic,16.36,1564,307.0,4,No,Port Racheltown,14.06
Honda,2023,CNG,Manual,18.38,884,160.0,3,No,Peggyhaven,4.23
Mahindra,2016,Electric,Manual,19.3,1536,146.0,2,Yes,Leahburgh,15.02
Mahindra,2012,Petrol,Manual,18.7,2212,143.0,1,Yes,Annchester,2.24
Kia,2021,Electric,Automatic,23.98,1026,280.0,1,Yes,Port Carl,7.52
Mahindra,2019,Petrol,Automatic,15.12,2107,213.0,2,Yes,West Josephmouth,8.69
Ford,2014,Electric,Automatic,17.59,908,110.0,2,No,Chadland,4.47
Toyota,2019,Electric,Manual,18.93,934,97.0,2,Yes,West Marco,5.52
Mahindra,2019,Petrol,Automatic,17.8,1737,318.0,1,Yes,Mitchellstad,11.19
Mahindra,2011,Petrol,Automatic,13.12,1090,246.0,4,Yes,New Joshuamouth,13.77
Honda,2017,Petrol,Manual,12.11,2625,72.0,4,No,Rachelview,-0.46
Honda,2021,Petrol,Automatic,12.03,2536,282.0,4,No,Jonathanburgh,8.72
BMW,2013,Diesel,Manual,20.91,2452,146.0,3,No,Elizabethtown,7.55
Hyundai,2012,Petrol,Automatic,14.72,2667,318.0,4,Yes,Johnstonhaven,8.43
Ford,2022,Electric,Manual,19.88,3241,240.0,3,Yes,Christopherfort,6.73
Mahindra,2017,Electric,Manual,18.35,826,232.0,1,Yes,Richardsonbury,2.84
Mahindra,2020,Diesel,Automatic,14.1,2860,254.0,3,Yes,South Brettburgh,14.17
Toyota,2013,Petrol,Manual,14.2,1353,304.0,2,No,Kingville,12.64
BMW,2016,Electric,Automatic,18.54,1732,255.0,2,No,North Melissahaven,7.58
Hyundai,2016,Diesel,Manual,18.31,3292,121.0,1,Yes,Ramirezport,6.05
BMW,2010,Electric,Manual,19.97,3071,84.0,4,Yes,Hannahberg,5.56
Kia,2023,Diesel,Manual,16.17,2868,111.0,1,No,Lake Davidberg,-2.34
Hyundai,2011,Diesel,Automatic,14.61,2471,109.0,2,Yes,Lake Christina,9.42
Mahindra,2007,CNG,Manual,18.44,2149,111.0,4,No,South Matthewburgh,11.12
Mahindra,2020,CNG,Manual,23.68,2556,99.0,2,No,Woodstad,8.55
Hyundai,2022,Petrol,Automatic,10.49,1266,291.0,1,No,South Krystal,7.65
Mahindra,2020,CNG,Manual,14.8,2048,119.0,4,Yes,Ashleyburgh,8.53
Ford,2011,Diesel,Manual,20.36,2298,275.0,1,No,Beckerburgh,4.59
Hyundai,2008,Electric,Manual,18.87,1417,256.0,2,Yes,Brownberg,6.0
BMW,2012,Electric,Manual,20.42,1257,61.0,4,Yes,Patriciachester,7.33
Hyundai,2017,Petrol,Automatic,16.28,3487,165.0,2,No,Johnborough,10.79
Mahindra,2017,CNG,Manual,11.55,2036,275.0,4,Yes,Williamville,13.52
Ford,2021,Petrol,Manual,,1760,226.0,3,Yes,Richardtown,7.08
Ford,2021,Diesel,Automatic,22.34,2304,306.0,3,No,Hawkinschester,3.82
Kia,2009,CNG,Manual,17.9,979,,2,Yes,Port Samanthaview,8.14
BMW,2010,Petrol,Manual,14.63,3385,117.0,1,Yes,Port Aliciaville,16.05
Honda,2023,Electric,Automatic,16.04,3374,102.0,3,Yes,Bradleyview,4.17
Honda,2017,Electric,Automatic,18.92,2869,197.0,3,Yes,West Scottburgh,11.54
Hyundai,2018,Petrol,Automatic,16.99,2168,168.0,4,Yes,Robinsonfurt,13.34
Kia,2008,Petrol,Automatic,17.94,3424,107.0,4,,Lake Melanieborough,6.56
Toyota,2011,Petrol,Manual,24.44,1562,,4,Yes,Lake Benjamin,5.2
Hyundai,2012,Diesel,Automatic,21.69,1721,273.0,2,Yes,Jonesberg,10.3
Kia,2017,Diesel,Manual,13.32,1544,187.0,1,Yes,Port Kim,9.41
BMW,2010,Electric,Automatic,18.31,2231,257.0,1,Yes,East Jonathan,10.78
BMW,2010,Diesel,Manual,15.92,2310,261.0,4,No,Johnview,16.29
BMW,2007,Diesel,Automatic,19.19,2239,251.0,2,Yes,Murphyborough,8.67
BMW,2007,CNG,Automatic,17.75,2095,166.0,4,No,New Sherrishire,3.23
BMW,2017,Diesel,Manual,29.87,1436,253.0,1,Yes,Rodriguezborough,8.27
Kia,2006,CNG,Automatic,19.72,1823,297.0,2,Yes,East Michael,8.97
Kia,2020,Diesel,Automatic,17.46,951,191.0,4,Yes,Port Aliciaton,13.07
Ford,2010,Electric,Automatic,25.37,812,142.0,4,No,New Angelatown,7.21
Honda,2012,Petrol,Manual,18.82,1514,281.0,1,Yes,Caseland,6.36
Mahindra,2012,Electric,Automatic,11.93,1048,165.0,2,Yes,Alvarezport,2.52
BMW,2010,Diesel,Automatic,17.5,1944,125.0,1,Yes,East Luis,10.19
Toyota,2018,Petrol,Manual,20.45,1186,254.0,2,Yes,Santanamouth,21.39
Mahindra,2007,Petrol,Manual,19.94,1238,247.0,2,No,Salasport,7.11
Kia,2014,Petrol,Automatic,22.02,3147,106.0,4,Yes,North Corey,9.81
Toyota,2007,CNG,Manual,18.61,1520,84.0,1,No,South Melissa,5.81
Toyota,2016,Electric,Manual,18.33,1272,125.0,2,,Romeroburgh,2.87
Toyota,2021,CNG,Manual,12.39,1806,126.0,3,Yes,Blackside,9.74
Ford,2009,Petrol,Automatic,24.11,1432,256.0,4,No,Port Samanthaburgh,8.11
Kia,2013,Electric,Automatic,16.78,3268,305.0,1,No,Kathyfort,-1.54
Toyota,2011,Electric,Manual,14.08,823,159.0,2,Yes,Jacquelinehaven,14.44
BMW,2008,Diesel,Automatic,28.51,1337,237.0,4,No,Angelamouth,9.66
Hyundai,2017,CNG,Manual,24.72,3485,174.0,1,Yes,Tammyview,8.3
Toyota,2017,CNG,Automatic,16.21,2780,227.0,1,Yes,North Toddton,6.31
Ford,2014,Diesel,Manual,10.48,2610,178.0,4,Yes,Christopherchester,9.62
Mahindra,2022,CNG,Automatic,15.13,1339,224.0,2,No,West Joann,9.81
Kia,2021,Petrol,Manual,24.32,2526,278.0,4,No,West Davidside,9.61
Ford,2017,Petrol,Automatic,18.71,1220,256.0,3,Yes,Port Christopher,12.27
Toyota,2021,CNG,Automatic,12.6,1283,296.0,4,Yes,Lake Michael,13.18
Kia,2008,Diesel,Manual,21.14,1828,228.0,1,Yes,Christinaland,16.02
Hyundai,2005,Electric,Automatic,,3004,135.0,3,No,North Brent,4.65
Toyota,2005,CNG,Automatic,15.41,851,92.0,3,No,South Timothy,5.71
Ford,2019,Electric,Automatic,15.71,1042,289.0,2,Yes,Lopezborough,9.44
Honda,2017,Diesel,Automatic,23.23,2486,,4,Yes,Williamstown,4.88
BMW,2021,Electric,Automatic,20.19,3267,289.0,2,No,Parsonsview,5.53
Mahindra,2012,Diesel,Automatic,,2640,155.0,4,No,East Caitlinborough,9.9
Ford,2022,Diesel,Automatic,19.47,1224,230.0,1,No,East Maria,11.6
Kia,2017,Petrol,Automatic,18.43,2927,91.0,2,No,West Elizabeth,13.1
Toyota,2018,Petrol,Manual,16.32,1494,104.0,1,Yes,Bellstad,7.23
BMW,2012,Diesel,Automatic,16.53,1153,131.0,1,No,Robertsbury,9.85
Toyota,2012,CNG,Manual,14.54,2489,79.0,3,No,New Emilyside,8.97
Kia,2019,Petrol,Automatic,15.35,1092,298.0,2,Yes,Lake Calebberg,8.07
Toyota,2017,Diesel,Manual,19.16,1516,258.0,4,No,Sarahtown,4.74
Honda,2011,Electric,Automatic,16.89,1328,124.0,2,No,West Chadhaven,4.23
BMW,2009,Electric,Manual,20.18,1279,247.0,1,Yes,Lisaborough,10.67
BMW,2021,CNG,Manual,14.86,1276,148.0,3,Yes,Heidichester,4.67
Kia,2020,Electric,Automatic,20.83,824,260.0,2,Yes,Morganton,0.89
Mahindra,2006,Electric,Manual,23.26,3278,82.0,3,Yes,Sherrishire,7.87
Honda,2022,Diesel,Automatic,17.97,3164,189.0,3,No,Walkerport,13.82
Ford,2021,Electric,Automatic,20.08,1437,213.0,1,Yes,Williamton,-3.18
Toyota,2011,Electric,Manual,20.24,3205,137.0,2,Yes,Berryport,6.85
Hyundai,2017,Electric,Automatic,15.99,2099,249.0,2,No,Jaredmouth,10.7
Toyota,2022,Electric,Manual,20.25,1489,213.0,2,Yes,Tyronemouth,0.71
Toyota,2018,Diesel,Manual,8.93,1143,172.0,3,Yes,South Dana,7.15
Ford,2022,Electric,Automatic,7.33,2254,176.0,4,Yes,Sandersberg,3.44
Toyota,2017,CNG,Automatic,16.68,3406,64.0,2,No,Andersonton,3.97
Honda,2015,Petrol,Automatic,20.53,1511,94.0,1,No,Matthewberg,6.39
Honda,2020,CNG,Automatic,17.66,3410,,3,No,West Richardtown,3.51
BMW,2021,Petrol,Automatic,20.98,1238,,4,No,Mckeeton,3.17
Kia,2012,CNG,Manual,13.19,2254,73.0,2,Yes,Richardtown,7.76
Mahindra,2023,Petrol,Manual,21.53,942,84.0,4,No,Whitemouth,16.91
Hyundai,2019,Petrol,Automatic,24.52,2583,277.0,3,No,Morenoton,11.03
Toyota,2013,Petrol,Automatic,15.21,1667,313.0,4,Yes,Moorechester,12.04
Toyota,2014,Petrol,Automatic,21.08,3200,262.0,3,No,South Michael,11.19
Ford,2016,Diesel,Manual,18.09,2288,160.0,4,No,East Jay,5.21
Kia,2005,CNG,Manual,19.77,1267,288.0,4,No,Chungland,9.24
Honda,2013,Petrol,Manual,24.51,2287,258.0,3,No,New Amandaport,12.39
Hyundai,2019,CNG,Automatic,19.31,1676,237.0,4,No,West Christineshire,11.31
BMW,2005,Electric,Automatic,21.06,2217,189.0,1,Yes,East Phillip,8.78
Honda,2016,Petrol,Manual,12.95,1718,200.0,2,Yes,North Samantha,10.08
Kia,2007,CNG,Automatic,20.93,2609,72.0,4,Yes,Jessicashire,17.85
Mahindra,2015,Diesel,Automatic,24.44,2576,276.0,4,No,Jacksonberg,11.36
BMW,2006,CNG,Manual,14.31,1881,245.0,4,Yes,Millerstad,6.74
Mahindra,2020,Petrol,Manual,,1949,86.0,2,Yes,East Bailey,7.7
Ford,2013,Electric,Automatic,20.74,1640,277.0,3,No,West Sabrinamouth,3.78
Ford,2019,CNG,Manual,19.79,2899,73.0,2,Yes,Heidiberg,17.39
Toyota,2016,Electric,Automatic,12.56,1811,201.0,4,Yes,Lake Tina,14.42
Mahindra,2005,Diesel,Manual,18.66,1613,,3,No,Griffinport,8.33
Kia,2017,CNG,Manual,16.67,3116,250.0,4,Yes,Kaylaside,16.72
Hyundai,2018,CNG,Automatic,14.13,2943,148.0,3,Yes,East Jennifer,10.53
BMW,2012,Diesel,Automatic,23.43,1072,,4,No,Joemouth,6.28
Honda,2012,Diesel,Manual,18.02,2516,191.0,4,No,East Amanda,11.63
Kia,2016,Diesel,Automatic,21.93,2980,125.0,3,No,North Ellen,9.59
Kia,2005,Petrol,Manual,13.31,2936,207.0,1,No,New Tanner,11.35
Ford,2015,Petrol,Automatic,20.36,804,204.0,2,No,New Amyside,2.52
Mahindra,2012,CNG,Manual,22.25,1156,65.0,3,No,East Nathanport,4.76
Toyota,2014,CNG,Manual,17.03,2166,141.0,2,No,South Denisehaven,13.95
Toyota,2023,CNG,Manual,16.01,1003,182.0,1,Yes,East Maryton,14.77
BMW,2015,Electric,Automatic,12.78,2396,226.0,1,No,New Andrewmouth,13.66
Ford,2011,Diesel,Manual,14.53,3318,296.0,3,No,Lake Kara,16.87
Kia,2015,CNG,Manual,16.19,3311,164.0,1,Yes,Kempview,10.31
Hyundai,2021,Diesel,Manual,14.1,1296,297.0,1,No,North Briantown,10.03
Ford,2005,Petrol,Manual,14.93,1501,141.0,4,No,Nealtown,4.35
BMW,2012,Diesel,Automatic,18.63,1636,153.0,4,,Christopherside,5.68
BMW,2010,Electric,Automatic,19.11,862,125.0,1,Yes,Fryberg,0.05
Ford,2022,Electric,Manual,22.36,2379,171.0,4,Yes,Rebeccastad,6.71
BMW,2010,Diesel,Manual,14.95,1038,230.0,1,Yes,Richardborough,-0.23
Ford,2009,Electric,Automatic,18.09,1339,306.0,4,Yes,Patrickberg,12.32
Honda,2017,Electric,Manual,16.33,997,125.0,1,,North Sean,9.55
Ford,2023,Petrol,Automatic,16.05,1580,127.0,1,Yes,New Daniel,-0.1
Mahindra,2012,CNG,Manual,16.74,829,93.0,2,,West Tiffany,7.24
Ford,2013,Electric,Automatic,17.22,2032,60.0,1,Yes,Armstrongland,15.87
BMW,2021,CNG,Manual,19.0,1886,210.0,2,No,Joneshaven,7.5
Mahindra,2007,Diesel,Automatic,16.68,1880,,3,Yes,Shannonmouth,4.01
BMW,2023,Diesel,Automatic,22.91,2655,297.0,1,No,West Curtis,0.86
Toyota,2015,Electric,Automatic,11.18,2398,175.0,1,,Sarahfurt,0.98
Toyota,2021,Diesel,Manual,22.22,2428,135.0,2,No,Mauriceview,10.14
Mahindra,2023,Petrol,Automatic,16.53,3447,78.0,1,Yes,Petersonfurt,6.26
Honda,2006,Electric,Automatic,17.24,1817,94.0,4,No,Stevenstad,6.6
Toyota,2012,Electric,Manual,17.96,3467,300.0,2,No,Kellytown,6.28
Ford,2023,Electric,Manual,20.82,1869,66.0,2,Yes,Sherrychester,7.44
BMW,2011,Diesel,Manual,14.48,2924,96.0,4,Yes,Bennettport,3.09
Toyota,2021,Diesel,Manual,15.37,1992,212.0,1,No,South Michael,9.26
Toyota,2010,Electric,Automatic,20.0,1613,304.0,3,No,Aaronview,2.31
Honda,2023,CNG,Manual,11.21,1952,309.0,3,No,New Angelahaven,4.98
Mahindra,2010,Diesel,Manual,,2536,174.0,3,No,Boyerland,12.04
Mahindra,2006,Diesel,Manual,14.81,2683,100.0,2,No,New Elizabeth,9.5
