Machine_ID,Machine_Type,Factory_Location,Operating_Hours_Per_Day,Energy_Consumption_kWh,Production_Output_Units,Defect_Rate_Percent,Maintenance_Level,Temperature_Celsius,Worker_Count,Downtime_Hours_Per_Month,Shift_Type,Last_Service_Date,Supervisor_Name,Efficiency_Score
MCH-1053,3D Printer,Vadodara,5,939.44,602,9.02,Low,36.0,29,0.4,Evening,2022-02-13,Sheri,85.35
MCH-1054,CNC,Rajkot,6,350.82,1697,12.45,HIGH,28.4,25,4.1,Night,2024-08-01,Jonathan,85.87
MCH-1055,Robotic Arm,Surat,4,548.62,1044,6.43,HIGH,34.4,21,16.2,Evening,2023-01-01,Jamie,83.72
MCH-1056,Packaging Unit,Vadodara,9,1283.3,652,6.94,,34.4,27,2.0,Night,2022-04-13,Ryan,88.32
MCH-1057,Laser Cutter,Rajkot,19,980.84,391,4.28,Medium,25.8,27,5.1,Morning,2023-04-06,Christina,89.73
MCH-1058,Packaging Unit,Surat,10,203.79,1945,0.7,High,,5,18.2,Morning,2023-11-01,Marc,101.78
MCH-1059,3D Printer,Surat,8,555.35,815,3.37,High,21.2,9,4.1,Night,2022-09-02,Tanner,96.39
MCH-1060,Laser Cutter,Vadodara,22,506.53,1618,4.47,Low,30.8,25,0.9,Morning,2023-08-16,Kristine,103.19
MCH-1061,3D Printer,Ahmedabad,14,1322.65,306,0.39,High,22.6,23,3.2,Evening,2024-12-30,Jennifer,97.64
MCH-1062,Robotic Arm,Vadodara,9,383.4,385,7.49,Medium,,22,9.4,Evening,2024-05-06,Ashley,81.1
MCH-1063,CNC,Surat,23,1519.33,247,9.39,Medium,34.8,4,0.9,Night,2023-04-21,Brenda,80.48
MCH-1064,Laser Cutter,Vadodara,17,1152.64,728,6.8,Medium,28.6,26,7.1,Evening,2024-10-03,Krystal,85.85
MCH-1065,Robotic Arm,Pune,10,797.64,739,1.17,Low,35.6,3,1.7,Night,2024-04-03,Joshua,101.49
MCH-1066,3D Printer,Ahmedabad,16,680.96,1387,14.3,Medium,30.2,19,14.8,Night,2025-01-19,Kara,71.63
MCH-1067,Laser Cutter,Surat,20,732.79,1161,13.1,Medium,35.0,28,10.5,Morning,2024-10-13,Sandra,75.08
MCH-1068,Laser Cutter,Surat,20,1142.51,852,4.07,Medium,20.4,8,10.5,Night,2022-04-17,Ashley,89.98
MCH-1069,,Vadodara,13,1135.31,1833,10.23,High,22.9,10,7.9,Night,2022-05-23,Alexandria,87.66
MCH-1070,Robotic Arm,Ahmedabad,4,1126.38,1527,6.66,High,29.9,8,22.1,Morning,2022-06-06,Kimberly,82.33
MCH-1071,Laser Cutter,Surat,16,530.56,1755,6.38,Low,33.4,18,5.3,Night,2024-07-13,Michael,97.4
MCH-1072,CNC,Rajkot,16,179.31,272,11.92,Low,31.9,27,10.0,Morning,2024-04-30,Madeline,71.17
MCH-1073,CNC,Ahmedabad,17,463.13,796,8.29,Medium,32.0,25,22.4,Evening,2023-10-18,,73.71
MCH-1074,Packaging Unit,Rajkot,9,825.04,1775,12.29,Medium,25.7,25,0.7,Morning,2022-09-07,James,88.54
MCH-1075,Laser Cutter,Ahmedabad,7,,1231,2.5,Medium,,21,2.5,Morning,2025-01-02,Betty,103.14
MCH-1076,,Surat,18,380.76,1989,8.27,High,37.4,20,2.6,Morning,2023-07-15,Miguel,97.67
MCH-1077,Packaging Unit,Vadodara,18,625.25,1391,0.23,High,25.6,18,2.1,Morning,2022-01-15,Jessica,108.77
MCH-1078,Packaging Unit,Surat,13,497.75,1027,11.88,Low,31.5,5,2.0,Morning,2023-03-24,Melissa,82.69
MCH-1079,Laser Cutter,Ahmedabad,23,423.31,562,1.36,Medium,38.3,6,25.6,Morning,2022-09-06,John,83.44
MCH-1080,Laser Cutter,Ahmedabad,5,671.89,129,7.33,Medium,35.1,13,7.6,Evening,2023-11-27,Jonathan,80.14
MCH-1081,3D Printer,Rajkot,19,785.81,56,5.57,Low,29.5,29,3.3,Evening,2022-11-11,Michael,85.89
MCH-1082,Packaging Unit,Vadodara,21,474.33,1300,10.49,HIGH,26.9,14,12.0,Night,2022-11-08,Richard,80.78
MCH-1083,Packaging Unit,Vadodara,15,311.73,940,10.46,High,21.1,17,3.4,Night,2022-11-29,Tammy,84.09
MCH-1084,Packaging Unit,Pune,14,1390.89,1687,7.41,High,22.7,5,13.1,Morning,2024-02-17,Kevin,88.08
MCH-1085,Packaging Unit,Vadodara,4,948.42,1299,1.61,HIGH,25.1,18,17.0,Night,2023-03-14,Bruce,94.35
MCH-1086,CNC,Vadodara,16,723.38,567,8.59,,42.6,7,12.4,Night,2022-08-23,Megan,77.83
MCH-1087,Laser Cutter,Vadodara,22,1077.37,597,4.98,High,30.5,4,1.0,Evening,2022-10-21,,92.78
MCH-1088,Packaging Unit,Ahmedabad,10,960.43,90,7.99,Low,27.2,2,9.5,morning,2023-10-20,Kevin,76.75
MCH-1089,Laser Cutter,Vadodara,15,727.21,1085,0.78,Medium,27.5,15,14.5,Evening,2024-02-19,,96.29
MCH-1090,Robotic Arm,Rajkot,16,607.27,588,11.79,High,36.2,29,8.7,Morning,2023-11-17,Stephen,74.36
MCH-1091,,Surat,12,612.69,770,5.89,High,20.5,25,35.0,Morning,2024-04-22,Robert,69.26
MCH-1092,Laser Cutter,Vadodara,11,772.16,1201,13.72,Low,29.9,4,13.3,Night,2024-09-20,Jay,72.16
MCH-1093,3D Printer,Surat,17,,1416,13.54,High,28.1,10,4.8,Evening,2024-01-11,Frank,80.32
MCH-1094,Packaging Unit,Pune,13,330.92,495,5.43,High,27.1,4,16.9,Morning,2024-06-27,,80.96
MCH-1095,Robotic Arm,Pune,16,388.78,1223,1.9,High,25.5,9,1.7,Morning,2022-05-18,,104.65
MCH-1096,Packaging Unit,Pune,16,1050.24,710,12.11,Medium,25.3,9,20.8,Morning,2022-08-22,Sandra,65.64
MCH-1097,Laser Cutter,Ahmedabad,14,448.36,787,0.28,Medium,35.5,8,1.2,Morning,2022-08-05,Mercedes,104.52
MCH-1098,CNC,Rajkot,4,602.3,1221,5.2,,24.8,7,2.7,Morning,2024-01-19,Laura,97.02
MCH-1099,CNC,Surat,22,442.88,536,4.51,High,27.5,2,7.2,Night,2022-08-01,Anna,89.77
MCH-1100,Packaging Unit,Vadodara,20,1858.91,493,13.54,Medium,29.6,2,0.7,Evening,2023-11-10,,73.88
MCH-1101,,Pune,18,787.38,1451,7.74,High,31.8,28,1.1,Evening,2024-12-06,Kevin,94.72
MCH-1102,Laser Cutter,Ahmedabad,15,421.76,1122,0.68,High,30.9,16,20.1,Night,2022-05-23,Lee,93.32
MCH-1103,Laser Cutter,Surat,13,894.79,364,3.05,Medium,31.6,21,16.6,Evening,2024-11-23,Heather,84.04
MCH-1104,CNC,Ahmedabad,18,496.46,665,13.85,Low,24.8,22,4.7,Night,2023-01-09,Melissa,73.84
MCH-1105,Packaging Unit,Surat,16,690.58,1102,12.77,Low,34.4,11,0.4,Night,2023-01-13,Gregory,82.38
MCH-1106,Laser Cutter,Pune,23,296.39,696,12.88,Medium,21.6,11,9.0,Evening,2024-04-14,Diana,73.32
MCH-1107,Packaging Unit,Ahmedabad,20,433.37,84,3.91,High,24.8,26,12.3,Morning,2023-02-07,Lisa,83.65
MCH-1108,Robotic Arm,Vadodara,21,916.96,1072,0.31,High,32.2,17,0.4,morning,2022-03-29,Jean,106.72
MCH-1109,Robotic Arm,Pune,23,146.11,771,7.97,Low,22.5,18,0.8,Night,2024-01-07,Laura,89.72
MCH-1110,Laser Cutter,Surat,6,308.19,631,4.14,Low,24.3,26,13.7,Evening,2023-04-05,Felicia,86.95
MCH-1111,Robotic Arm,Ahmedabad,23,619.29,259,0.66,,33.4,9,0.7,Morning,2024-02-11,,99.46
MCH-1112,Robotic Arm,Ahmedabad,18,932.29,1980,7.94,High,27.4,22,2.0,Night,2023-11-18,Reginald,97.89
MCH-1113,Packaging Unit,Rajkot,10,783.44,1311,7.6,High,40.1,21,1.8,Night,2024-10-02,Melissa,93.35
MCH-1114,Robotic Arm,Vadodara,13,292.04,1487,11.81,High,20.0,24,3.1,Night,2024-05-08,Steven,86.18
MCH-1115,Packaging Unit,Pune,23,748.45,1478,3.58,Medium,27.5,11,4.1,Evening,2024-08-18,Richard,101.22
MCH-1116,CNC,Ahmedabad,11,895.91,831,1.48,High,27.1,25,6.2,Morning,2024-06-01,Dana,98.35
MCH-1117,Robotic Arm,Pune,22,302.58,424,11.1,Low,33.6,26,1.4,Night,2023-08-21,Chad,79.92
MCH-1118,Robotic Arm,Ahmedabad,15,820.79,1467,6.84,Medium,25.9,25,3.8,Night,2022-11-11,Kimberly,94.71
MCH-1119,Robotic Arm,Rajkot,12,576.19,1812,7.49,Low,23.7,5,11.2,Evening,2023-09-04,Paul,91.46
MCH-1120,Robotic Arm,Surat,21,580.47,884,4.53,Medium,23.4,18,9.5,Night,2025-01-17,Dave,90.83
MCH-1121,CNC,Ahmedabad,5,1191.88,469,12.86,Low,39.4,24,1.2,Night,2024-11-05,Andrea,75.65
MCH-1122,CNC,Surat,11,1208.9,507,8.65,Low,40.2,13,11.2,Evening,2024-12-29,Holly,77.36
MCH-1123,Laser Cutter,Pune,21,647.8,1838,3.13,,29.5,6,4.5,Morning,2023-09-26,Jacqueline,104.98
MCH-1124,CNC,Pune,21,780.48,199,11.03,High,36.6,21,0.2,Evening,2023-03-21,Chelsea,78.34
MCH-1125,CNC,Surat,9,618.56,1214,1.57,Low,34.6,16,1.4,Morning,2024-06-06,Pamela,105.11
MCH-1126,Robotic Arm,Rajkot,7,415.68,1337,14.24,Low,31.3,22,3.4,Night,2025-01-26,Sonya,79.69
MCH-1127,,Rajkot,4,565.31,683,9.42,Low,31.1,8,37.0,Night,2022-04-16,Dustin,60.14
MCH-1128,3D Printer,Surat,9,392.54,1225,8.43,Low,24.5,18,4.3,Night,2023-12-27,Scott,89.78
MCH-1129,CNC,Pune,4,807.45,582,0.87,High,,15,14.9,Morning,2024-12-14,Jonathan,91.53
MCH-1130,Laser Cutter,Ahmedabad,7,379.31,984,3.58,High,28.5,22,6.6,Night,2025-04-09,,95.88
MCH-1131,CNC,Ahmedabad,8,1020.21,1658,12.41,,24.7,29,8.1,Night,2022-11-12,Elizabeth,81.87
MCH-1132,3D Printer,Pune,12,502.94,66,1.64,Low,31.1,16,14.5,Morning,2022-09-05,Monique,86.4
MCH-1133,Robotic Arm,Ahmedabad,7,538.14,805,10.73,Low,19.0,18,17.0,Morning,2022-08-25,Julian,72.58
MCH-1134,Robotic Arm,Pune,9,322.16,558,5.39,Low,22.8,7,9.6,Morning,2022-12-10,Robert,86.69
MCH-1135,Laser Cutter,Surat,9,413.83,1125,10.97,Low,31.0,6,0.4,Night,2022-05-30,Jennifer,86.56
MCH-1136,,Pune,13,818.56,137,1.21,Low,28.1,29,7.8,Night,2024-04-08,Nicholas,92.09
MCH-1137,Packaging Unit,Ahmedabad,20,904.41,249,10.44,,37.2,25,0.3,Morning,2024-02-13,Cynthia,79.69
MCH-1138,,Ahmedabad,14,375.71,1947,4.53,Low,33.3,8,6.1,Morning,2022-12-01,Carlos,102.36
MCH-1139,Robotic Arm,Vadodara,8,283.87,1194,13.34,Low,37.6,7,13.9,Evening,2024-10-23,Brian,73.13
MCH-1140,Packaging Unit,Rajkot,10,767.56,1653,2.25,High,25.0,24,5.1,Night,2022-09-12,Shannon,104.61
MCH-1141,Laser Cutter,Ahmedabad,22,604.88,189,8.84,Medium,20.6,28,9.6,Evening,2025-04-13,William,76.31
MCH-1142,Laser Cutter,Surat,16,977.58,795,4.15,Low,36.4,7,5.1,Night,2022-03-05,Meghan,93.36
MCH-1143,CNC,Ahmedabad,5,340.73,163,5.61,Low,24.2,15,20.7,Night,2024-01-27,Lisa,75.16
MCH-1144,Laser Cutter,Rajkot,6,777.41,978,1.52,High,,24,1.8,Morning,2023-06-06,William,102.74
MCH-1145,Packaging Unit,Ahmedabad,21,497.85,811,1.42,Medium,22.1,23,6.8,Morning,2022-12-27,Lawrence,98.45
MCH-1146,Laser Cutter,Ahmedabad,13,223.61,918,13.0,Low,29.8,5,4.4,Morning,2023-03-20,,78.25
MCH-1147,CNC,Rajkot,4,521.6,811,8.15,High,26.4,24,0.9,Morning,2023-12-02,Amanda,89.08
MCH-1148,Laser Cutter,Surat,9,368.4,1880,5.45,High,30.1,29,4.7,Evening,2024-02-08,Shane,100.95
MCH-1149,3D Printer,Vadodara,13,956.09,459,12.22,High,28.2,24,7.2,Evening,2023-08-10,Angelica,72.98
MCH-1150,3D Printer,Surat,18,833.84,1915,1.73,High,38.8,20,10.0,Night,2024-10-31,Kenneth,104.31
MCH-1151,3D Printer,Surat,9,543.54,1682,1.51,Low,34.6,6,4.0,Night,2025-03-25,Bill,107.42
MCH-1152,Laser Cutter,Surat,9,1127.12,724,10.07,,41.7,13,10.9,Morning,2024-10-15,Patricia,76.65
MCH-1153,Packaging Unit,Rajkot,20,566.34,511,10.15,Medium,25.5,26,11.7,Morning,2023-12-22,Derek,74.96
MCH-1154,3D Printer,Rajkot,23,569.33,1452,4.84,High,27.2,17,1.6,Morning,2024-05-28,Rachel,100.49
MCH-1155,Packaging Unit,Ahmedabad,18,669.99,318,3.15,Medium,33.2,5,4.4,Night,2024-07-04,Kayla,92.31
MCH-1156,Laser Cutter,Ahmedabad,18,631.53,999,11.22,Medium,,28,30.3,Morning,2025-02-06,Gina,63.77
MCH-1157,Laser Cutter,Pune,15,181.86,838,3.48,High,32.9,9,17.2,Morning,2023-08-28,Raymond,87.72
MCH-1158,Packaging Unit,Ahmedabad,11,545.31,880,3.62,Medium,29.1,7,1.9,Morning,2025-01-15,Donald,97.98
MCH-1159,Packaging Unit,Ahmedabad,16,,1526,8.85,High,28.1,11,1.6,Night,2024-07-19,Aaron,93.27
MCH-1160,3D Printer,Ahmedabad,11,468.79,973,5.07,Low,19.2,3,1.3,Night,2025-03-19,Michael,96.39
MCH-1161,Robotic Arm,Pune,9,382.37,341,2.15,Low,27.1,20,8.6,Morning,2024-04-02,Andrea,91.98
MCH-1162,CNC,Pune,13,455.45,755,13.67,Low,23.5,24,14.2,Morning,2022-12-18,Antonio,68.36
MCH-1163,Packaging Unit,Ahmedabad,14,788.19,1579,1.12,Medium,,28,5.8,Evening,2022-12-31,Wesley,105.73
MCH-1164,3D Printer,Rajkot,4,1270.92,853,6.28,High,39.3,27,0.7,Evening,2025-02-20,Ashley,92.24
MCH-1165,Packaging Unit,Vadodara,11,473.47,1186,3.54,High,27.4,24,9.4,Evening,2022-02-10,,95.55
MCH-1166,3D Printer,Pune,16,1151.04,874,12.37,Low,29.2,25,35.0,morning,2022-10-05,Carlos,56.4
MCH-1167,3D Printer,Ahmedabad,12,687.48,307,10.74,High,41.1,12,0.2,Evening,2024-07-21,Jeffrey,79.96
MCH-1168,,Pune,9,501.79,118,4.99,Medium,26.4,19,6.1,Evening,2022-01-30,April,86.02
MCH-1169,Laser Cutter,Rajkot,12,608.54,1135,14.64,Medium,34.5,23,8.3,Evening,2023-12-04,Rebecca,73.5
MCH-1170,Packaging Unit,Ahmedabad,5,595.24,1071,0.98,Medium,37.3,20,1.7,Morning,2022-05-20,Edward,104.92
MCH-1171,,Ahmedabad,4,754.14,655,10.51,High,31.0,29,1.1,Morning,2024-12-16,Earl,82.59
MCH-1172,Packaging Unit,Surat,20,663.44,1595,13.2,HIGH,44.4,21,24.7,Morning,2025-01-19,,68.65
MCH-1173,Packaging Unit,Vadodara,8,921.18,1100,10.09,Low,31.9,14,9.5,Night,2024-03-15,Janice,81.02
MCH-1174,Packaging Unit,Surat,15,1870.75,1562,0.39,Low,31.8,18,1.7,Morning,2023-11-11,Becky,108.37
MCH-1175,Packaging Unit,Rajkot,13,729.62,909,2.66,Low,24.0,21,0.8,Morning,2022-09-19,Richard,100.65
MCH-1176,CNC,Surat,4,329.35,1164,8.53,Medium,31.0,20,0.4,Morning,2025-03-01,Christopher,91.89
MCH-1177,CNC,Vadodara,7,786.53,1003,0.99,Low,,5,0.8,Morning,2022-09-02,Michael,104.69
MCH-1178,Robotic Arm,Vadodara,7,772.77,53,12.67,HIGH,20.6,17,4.1,Evening,2023-07-12,Leslie,71.13
MCH-1179,Robotic Arm,Vadodara,12,614.3,210,5.46,HIGH,29.1,14,3.1,Morning,2023-01-17,Kelly,87.78
MCH-1180,CNC,Vadodara,21,293.03,1503,9.46,Low,17.2,5,14.2,Evening,2023-01-06,Brian,83.25
MCH-1181,CNC,Surat,11,311.24,1234,2.29,High,21.7,3,12.6,Night,2022-02-08,Brandon,96.44
MCH-1182,Robotic Arm,Ahmedabad,5,540.77,1958,3.4,High,35.9,25,0.2,Evening,2023-07-04,Krista,108.6
MCH-1183,Laser Cutter,Pune,13,309.42,242,10.94,Medium,32.5,12,7.9,Evening,2024-06-11,,74.16
MCH-1184,3D Printer,Vadodara,18,1680.73,1454,4.17,High,26.3,3,13.4,Evening,2023-06-10,Kyle,92.0
MCH-1185,Laser Cutter,Vadodara,9,,657,12.6,Low,24.3,9,12.3,Morning,2022-04-30,Rodney,70.41
MCH-1186,Robotic Arm,Vadodara,10,907.18,1582,8.26,High,33.6,7,3.4,Morning,2023-08-26,Brian,92.99
MCH-1187,Laser Cutter,Ahmedabad,7,780.94,1403,10.5,High,28.2,26,2.1,morning,2024-11-08,Jerry,88.11
MCH-1188,Packaging Unit,Vadodara,10,276.67,820,8.87,Low,39.0,17,0.6,morning,2024-12-20,Sean,88.28
MCH-1189,,Vadodara,8,797.93,994,11.42,,,24,16.0,Night,2024-04-04,Alan,73.1
MCH-1190,3D Printer,Surat,10,693.74,458,13.26,High,22.9,7,9.8,Night,2024-10-17,Kathleen,69.45
MCH-1191,3D Printer,Surat,9,228.85,406,8.42,High,25.3,6,8.5,Evening,2024-01-12,Craig,80.27
MCH-1192,,Rajkot,9,1098.12,813,14.0,Low,36.2,29,11.0,Morning,2024-03-30,Andrea,69.51
MCH-1193,Packaging Unit,Pune,16,306.91,581,6.33,Low,29.5,25,15.8,Morning,2025-02-20,Jacqueline,80.68
MCH-1194,CNC,Surat,10,746.86,211,2.91,High,33.1,18,4.3,Night,2022-12-18,Felicia,91.86
MCH-1195,Packaging Unit,Vadodara,7,1279.48,1568,13.23,,21.3,14,0.2,Morning,2023-07-11,Kendra,84.64
MCH-1196,Packaging Unit,Surat,5,409.19,1335,4.13,Low,23.3,25,26.3,Night,2022-12-01,April,83.87
MCH-1197,3D Printer,Surat,13,710.9,1806,14.46,High,33.7,25,0.7,Night,2024-02-17,Jacob,84.62
MCH-1198,Laser Cutter,Rajkot,20,685.36,844,4.46,Medium,26.3,17,5.2,Morning,2024-09-01,Johnny,93.49
MCH-1199,Laser Cutter,Pune,8,795.51,1055,7.73,High,37.4,16,1.1,Night,2024-05-13,Tiffany,91.43
MCH-1200,Laser Cutter,Vadodara,21,172.48,168,5.68,High,28.1,25,5.8,Morning,2022-07-01,Leonard,85.73
MCH-1201,3D Printer,Surat,20,969.84,635,2.37,Medium,27.4,26,19.3,Night,2024-03-17,Jason,85.66
MCH-1202,3D Printer,Vadodara,20,1142.6,1231,3.52,Low,35.3,6,30.6,Morning,2024-05-20,Benjamin,80.17
MCH-1203,3D Printer,Pune,17,527.31,725,11.3,Low,33.3,24,2.5,Evening,2024-10-26,Nicholas,80.94
MCH-1204,CNC,Pune,12,532.16,1152,14.86,,,10,1.0,Morning,2024-09-26,Theodore,78.42
MCH-1205,CNC,Ahmedabad,22,478.33,301,5.88,High,28.0,9,9.2,Evening,2024-11-20,Kayla,83.63
MCH-1206,Laser Cutter,Ahmedabad,21,1118.83,1489,9.43,High,26.0,3,5.9,Morning,2024-04-16,Max,87.82
MCH-1207,Packaging Unit,Rajkot,15,317.02,1529,12.81,High,24.4,19,1.7,Morning,2023-01-26,Megan,85.48
MCH-1208,Packaging Unit,Surat,4,943.15,131,12.61,Medium,26.9,26,33.5,Evening,2024-01-17,Barbara,51.07
MCH-1209,Packaging Unit,Vadodara,5,,1154,8.69,High,32.8,24,0.7,Night,2025-02-22,Leah,90.45
MCH-1210,Laser Cutter,Surat,4,428.23,1030,1.67,Low,25.8,15,6.7,Night,2025-03-03,Melinda,99.94
MCH-1211,Packaging Unit,Ahmedabad,10,531.59,1401,1.75,High,26.1,11,9.5,Morning,2025-03-27,Jeffrey,100.77
MCH-1212,Laser Cutter,Ahmedabad,12,593.65,1688,5.32,Medium,24.0,4,1.6,Night,2024-01-18,Christopher,101.46
MCH-1213,3D Printer,Surat,5,401.3,856,0.87,Low,13.0,27,6.9,Night,2022-08-30,Jessica,99.99
MCH-1214,,Ahmedabad,12,560.7,1419,10.31,Low,32.8,8,12.0,Night,2024-05-18,Kendra,82.0
